Date_Time,lights,Monitor 1 Spider 1,Monitor 1 Spider 2,Monitor 1 Spider 3,Monitor 1 Spider 4,Monitor 1 Spider 5,Monitor 1 Spider 6,Monitor 1 Spider 7,Monitor 1 Spider 8,Monitor 1 Spider 9,Monitor 1 Spider 10,Monitor 1 Spider 11,Monitor 1 Spider 12,Monitor 1 Spider 13,Monitor 1 Spider 14,Monitor 1 Spider 15,Monitor 1 Spider 16,Monitor 1 Spider 17,Monitor 1 Spider 18,Monitor 1 Spider 19,Monitor 1 Spider 20,Monitor 1 Spider 21,Monitor 1 Spider 22,Monitor 1 Spider 23,Monitor 1 Spider 24,Monitor 1 Spider 25,Monitor 1 Spider 26,Monitor 1 Spider 27,Monitor 1 Spider 28,Monitor 1 Spider 29,Monitor 1 Spider 30,Monitor 1 Spider 31,Monitor 1 Spider 32
2017-04-21 00:57:00,0,0,0,8,0,0,0,5,5,16,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,5,0,8,3
2017-04-21 00:58:00,0,0,0,0,0,0,3,2,6,8,0,0,0,0,0,0,0,0,0,0,7,0,1,0,2,1,0,0,0,0,0,3,1
2017-04-21 00:59:00,0,0,0,0,0,0,9,4,2,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,7,0,6,0,16,0,12,2
2017-04-21 01:00:00,0,0,0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,8,0,5,0
2017-04-21 01:01:00,0,0,0,0,0,0,0,30,3,5,0,0,7,0,0,0,0,0,0,0,13,0,0,0,2,9,0,0,0,3,0,0,0
2017-04-21 01:02:00,0,0,0,5,0,0,0,18,13,11,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,4,0,9,0,4,0
2017-04-21 01:03:00,0,0,0,14,0,0,0,11,8,3,0,0,8,0,0,0,0,0,0,0,10,0,0,0,3,3,0,0,0,0,0,5,2
2017-04-21 01:04:00,0,0,0,0,0,0,0,6,2,9,0,0,4,0,0,0,0,0,0,0,1,0,0,0,2,4,0,2,0,4,0,81,3
2017-04-21 01:05:00,0,0,0,6,0,0,0,4,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,3,0,0,0,0,0
2017-04-21 01:06:00,0,0,0,7,0,0,0,8,1,45,0,0,3,0,0,0,0,0,0,0,8,0,3,0,7,8,0,0,0,0,0,3,3
2017-04-21 01:07:00,0,0,0,8,0,0,0,15,4,6,0,0,2,0,0,0,0,0,0,0,3,0,0,0,1,7,0,3,0,0,0,4,4
2017-04-21 01:08:00,0,0,0,13,0,28,6,6,5,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,9,10
2017-04-21 01:09:00,0,0,8,0,0,23,0,10,4,7,0,0,6,0,0,0,0,0,0,0,4,0,0,0,0,5,0,3,0,0,0,0,1
2017-04-21 01:10:00,0,0,13,0,0,4,0,0,23,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,0,0,0,22,0
2017-04-21 01:11:00,0,0,11,10,0,7,9,22,16,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,6,0,17,0,0,0,5,1
2017-04-21 01:12:00,0,0,0,0,0,18,3,0,12,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,5,0,4,0,0,0,7,0
2017-04-21 01:13:00,0,0,0,17,0,10,8,3,2,9,0,5,0,0,0,0,0,0,0,0,3,0,0,0,3,8,0,0,0,0,0,0,1
2017-04-21 01:14:00,0,0,0,15,0,11,7,10,17,3,0,7,0,0,0,0,0,0,0,0,9,0,0,0,3,10,0,4,0,0,0,2,1
2017-04-21 01:15:00,0,0,0,3,0,3,0,20,1,2,0,13,3,0,0,0,0,0,0,0,0,0,0,0,4,5,0,1,0,0,0,3,2
2017-04-21 01:16:00,0,0,0,6,0,3,2,0,5,23,0,11,6,0,0,0,0,0,0,0,0,0,0,0,3,6,0,4,0,0,0,3,0
2017-04-21 01:17:00,0,0,0,6,0,9,0,0,8,4,0,9,1,0,0,0,0,0,0,0,0,0,0,0,1,14,0,4,0,0,0,0,1
2017-04-21 01:18:00,0,0,0,14,11,2,0,0,31,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,8,0
2017-04-21 01:19:00,0,0,0,6,12,0,0,7,12,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,4,0,0,0,18,0
2017-04-21 01:20:00,0,0,0,4,2,3,0,14,32,2,0,4,2,0,0,0,0,0,0,0,0,0,0,0,8,8,0,2,0,0,0,20,1
2017-04-21 01:21:00,0,0,0,3,21,0,0,19,31,3,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,7,0,4,0,0,0,4,0
2017-04-21 01:22:00,0,0,0,6,8,0,0,34,19,1,0,5,3,0,0,0,0,0,0,0,2,0,0,0,8,5,0,14,0,0,0,5,3
2017-04-21 01:23:00,0,0,0,1,2,13,22,15,0,5,0,5,39,0,0,0,0,0,0,0,0,0,0,0,5,9,0,5,0,0,0,4,11
2017-04-21 01:24:00,0,0,0,7,6,13,0,0,35,12,0,3,0,0,0,0,0,0,0,0,0,0,1,0,3,5,0,8,0,0,0,4,2
2017-04-21 01:25:00,0,0,0,6,2,6,7,15,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,20,0
2017-04-21 01:26:00,0,0,0,8,3,1,0,11,7,14,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,33,0
2017-04-21 01:27:00,0,0,0,1,2,15,5,17,6,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
