"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TRINITY_DN51294_c0_g2",7.46092025231366,-4.50893456213347,1.08842466444018,-3.8486214976468,0.000118784378958351,0.0429784873596273
"TRINITY_DN15305_c0_g3",12.3361025061451,-6.98291250154402,1.73238624930068,-3.84608946430605,0.000120017956091276,0.0431464552148136
"TRINITY_DN7379_c3_g1",4.2000349020987,-5.42191814607204,1.32767491201775,-3.84274651866273,0.000121665108268306,0.0434600165726315
"TRINITY_DN9139_c0_g1",26.7641451081502,-4.79748409508409,1.16914905021158,-3.82969484880804,0.000128302259215483,0.0452543855429102
"TRINITY_DN97362_c0_g1",10.2311352821617,-5.52575363175182,1.35906315596252,-3.83039861607093,0.00012793583822078,0.0452543855429102
"TRINITY_DN14604_c0_g2",6.27358870853384,-6.00164590553095,1.48603096180221,-3.8233698029013,0.000131640116732283,0.0461415064161242
"TRINITY_DN5544_c0_g1",8.31547573260871,-5.21869748150377,1.28207507881624,-3.82091311378333,0.000132958490840492,0.0463141495858167
"TRINITY_DN29751_c0_g1",8.21773363742732,6.6201754570318,1.65416184175671,3.80868141072644,0.000139709827623416,0.0483654725480025
"TRINITY_DN11457_c0_g2",9.15682400128363,-6.56010474471118,1.63925161574984,-3.80667902642682,0.000140845347376436,0.0484508085374587
"TRINITY_DN30899_c2_g1",12.2510694843731,-6.97135303362745,1.74795972332174,-3.80520955081707,0.000141684187442374,0.0484508085374587
"TRINITY_DN14347_c0_g2",9.64320145071497,-6.63023715189725,1.66128194042931,-3.79841434396532,0.000145624737246565,0.0494965243288596
