"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TRINITY_DN122428_c0_g1",8.60166842750124,-6.39454239984465,1.20217306864914,-5.0529682940498,4.34996131065428e-07,0.000562120000402653
"TRINITY_DN153874_c0_g1",10.883954611475,-6.73513284901886,1.28127762439445,-5.00682500566632,5.53351915938918e-07,0.000691228768327032
"TRINITY_DN71689_c0_g1",7.47149678768618,6.57211685902068,1.25171633014396,4.99483525816239,5.88860124957131e-07,0.000711855909121564
"TRINITY_DN92157_c0_g1",6.89842671344035,6.44669887337203,1.26671226299623,4.83669342466157,1.32016803759041e-06,0.0015460405377719
"TRINITY_DN122669_c0_g1",18.4949427481777,-7.5050450776407,1.51511292800698,-4.7422505245811,2.11357024480546e-06,0.00240018317951772
"TRINITY_DN25083_c0_g4",9.09639082075784,6.84878109724952,1.38824371710415,4.70290700171036,2.56483262311722e-06,0.00277313817900265
"TRINITY_DN35129_c1_g1",20.0442217785534,7.99182331797328,1.6319852761281,4.70091454266962,2.58998895970895e-06,0.00277313817900265
"TRINITY_DN16689_c0_g1",7.50592256440233,6.56331383173049,1.34352822862779,4.64695396694946,3.36872301365133e-06,0.0034502083026586
"TRINITY_DN97590_c0_g1",8.13922485989901,-6.31230053054584,1.29015016862586,-4.64465352659546,3.40647650962957e-06,0.0034502083026586
"TRINITY_DN10757_c1_g1",16.4382347405968,7.70581337035609,1.61714608968026,4.56718995116662,4.94306042547816e-06,0.004698462532145
"TRINITY_DN37148_c0_g1",59.3714567543646,2.31056277968926,0.436129271166156,4.56415771949162,5.0150367254383e-06,0.004698462532145
"TRINITY_DN78957_c0_g1",6.55691054864518,-6.00255872097615,1.24452964945419,-4.56602920104661,4.97049558159489e-06,0.004698462532145
"TRINITY_DN33880_c3_g1",6.90250681696166,-6.07436256088816,1.26732432891345,-4.54056032035755,5.61049240104087e-06,0.00512812689582943
"TRINITY_DN28367_c0_g1",17.1219600786325,7.7659599908873,1.64200872926662,4.53466529024662,5.76949049703245e-06,0.00514789658038789
"TRINITY_DN7101_c0_g1",9.41673055981,-6.51862730245466,1.37668684142962,-4.50256886019024,6.71369917112771e-06,0.00585106689390723
"TRINITY_DN11783_c2_g1",6.35879424148429,-5.96354432856116,1.26628543898361,-4.45677108400691,8.32033679400568e-06,0.00708646866716734
"TRINITY_DN1477_c0_g1",802.295451254375,2.23962247973075,0.433884721070022,4.42426844392373,9.67696330089837e-06,0.00805875999335925
"TRINITY_DN92355_c0_g1",6.7609334173693,-6.04838318969347,1.30622000625939,-4.38546581911405,1.15737832016773e-05,0.00942885924962733
"TRINITY_DN112626_c0_g1",13.2206844228374,7.38872412838971,1.63080145312207,4.33450933886346,1.46085587050704e-05,0.0114239814562243
"TRINITY_DN13804_c0_g2",13.2785926785951,7.39484951569269,1.63235001876847,4.33414980509532,1.46324512314547e-05,0.0114239814562243
"TRINITY_DN34832_c0_g1",19.3768799746383,-7.5675760199008,1.68254890746184,-4.307497979856,1.65111603349649e-05,0.01262766803169
"TRINITY_DN29436_c3_g1",6.77931003511338,-6.05333277610059,1.33379917911373,-4.29849775429476,1.71959643175387e-05,0.0128883752559952
"TRINITY_DN15224_c0_g1",6.08172570185412,6.26310979878055,1.38784055018557,4.28227133007888,1.84995206447821e-05,0.0135935203169257
"TRINITY_DN10489_c0_g2",12.3036031322331,7.28570042057484,1.66309639579411,4.18839246972739,2.80937368107822e-05,0.0198643922072465
"TRINITY_DN363_c2_g1",5.21615036043589,-5.67441629684664,1.2781171204767,-4.1893001909321,2.79816038863319e-05,0.0198643922072465
"TRINITY_DN50505_c0_g1",14.1020688626469,7.48190378262624,1.71246706147313,4.18221403713617,2.88684000674808e-05,0.0200341350468304
"TRINITY_DN1223_c0_g2",16.8827996042336,-7.36750942822039,1.6939871188599,-4.16030874719022,3.17817661260041e-05,0.0216549397376728
"TRINITY_DN3872_c0_g3",13.5571520972317,7.42184593449936,1.72012241633873,4.12868634641458,3.64841689518226e-05,0.0244150755619563
"TRINITY_DN24389_c0_g1",10.202976679211,7.01564310119941,1.64034968332103,4.08183887208945,4.4680770247859e-05,0.0288691700868709
"TRINITY_DN4481_c1_g1",13.3786594396227,-7.03606239925788,1.64449781170876,-4.08395946254216,4.42747577664414e-05,0.0288691700868709
"TRINITY_DN20030_c0_g1",31.3336350101758,8.63538007549101,2.05968835484795,4.03720303409923,5.4092251987003e-05,0.034062273836925
"TRINITY_DN6489_c1_g1",182.616078414429,2.48085121407421,0.535489083922248,4.03528527275817,5.45359954693929e-05,0.034062273836925
"TRINITY_DN10665_c0_g1",514.440863168865,4.28165908167024,0.982818133583538,4.03091777237086,5.55594799527192e-05,0.0341326477250516
"TRINITY_DN10068_c0_g1",10.6303719918509,4.87127230141556,1.13967036739262,3.99349884987195,6.51053946611536e-05,0.0393520107246247
"TRINITY_DN30760_c0_g2",12.7537593676598,-6.96388262303128,1.67797016339743,-3.95947601927512,7.51143861236377e-05,0.0446811368251321
"TRINITY_DN161397_c0_g1",8.66278575987041,6.77780081041291,1.64339859227123,3.92954018628434,8.51084527657339e-05,0.0484379430339516
"TRINITY_DN322_c5_g1",147.290945351688,4.91128242655168,1.16856914330692,3.92897797520037,8.53076515074265e-05,0.0484379430339516
"TRINITY_DN677_c8_g1",9.13282515478659,6.85420117144275,1.66276264048416,3.92972575420635,8.50428001608661e-05,0.0484379430339516
"TRINITY_DN391_c3_g1",624.697030680126,5.61200822535447,1.34921540610749,3.92228564942199,8.77129156280896e-05,0.04906032109198
