Index,Day,Time,Light,Sp4,Sp5,Sp9,Sp10,Sp11,Sp12,Sp14,Sp15,Sp16,Sp17,Sp18,Sp19,Sp21,Sp25
19809,1,2024-05-01 09:51:00,1,0,6,0,0,14,3,1,0,0,0,0,0,0,0
19810,1,2024-05-01 09:52:00,1,0,1,0,1,0,0,3,0,0,0,0,0,0,0
19811,1,2024-05-01 09:53:00,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0
19812,1,2024-05-01 09:54:00,1,0,2,0,0,4,0,5,0,0,0,0,0,0,0
19813,1,2024-05-01 09:55:00,1,0,3,0,0,1,0,0,0,2,0,0,0,5,0
19814,1,2024-05-01 09:56:00,1,0,7,0,0,3,0,0,0,11,0,0,0,3,0
19815,1,2024-05-01 09:57:00,1,0,4,0,0,2,0,0,0,1,0,0,0,3,0
19816,1,2024-05-01 09:58:00,1,0,0,0,0,0,0,0,0,4,0,0,0,2,0
19817,1,2024-05-01 09:59:00,1,0,0,0,3,0,0,0,4,3,2,0,0,2,1
19818,1,2024-05-01 10:00:00,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1
19819,1,2024-05-01 10:01:00,1,0,0,0,0,0,0,0,2,1,4,0,0,0,6
19820,1,2024-05-01 10:02:00,1,0,0,0,0,0,0,0,5,0,1,0,1,0,4
19821,1,2024-05-01 10:03:00,1,0,0,0,0,0,0,0,6,0,7,0,2,0,2
19822,1,2024-05-01 10:04:00,1,0,0,0,0,0,0,0,2,0,2,0,2,0,0
19823,1,2024-05-01 10:05:00,1,0,0,0,0,0,0,0,4,0,1,0,1,2,0
19824,1,2024-05-01 10:06:00,1,0,0,0,0,0,0,0,3,0,0,0,2,0,0
19825,1,2024-05-01 10:07:00,1,0,0,0,0,0,0,0,14,0,0,0,3,0,0
19826,1,2024-05-01 10:08:00,1,0,0,0,0,0,6,0,2,0,0,0,2,0,0
19827,1,2024-05-01 10:09:00,1,0,0,0,0,0,11,0,0,0,0,0,0,0,0
19828,1,2024-05-01 10:10:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19829,1,2024-05-01 10:11:00,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0
19830,1,2024-05-01 10:12:00,1,0,0,0,0,0,6,0,3,0,0,0,0,0,0
19831,1,2024-05-01 10:13:00,1,0,0,0,0,0,1,0,9,0,0,0,0,0,0
19832,1,2024-05-01 10:14:00,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
